,Unnamed: 0,question_id,question,answer,section,number,company_name,company_id,version
42,42,43,What IDE do your dev teams use?,Our PHP team uses Sublime Text and VSCode. Our Java teams still use Eclipse if Im not mistaken,Development Practices and Tooling,43,A SaaS Co.,1,R03.3
43,43,44,What code repository is used?,Github,Development Practices and Tooling,44,A SaaS Co.,1,R03.3
44,44,45,How is your development environment managed?,Development companies manage their own environment outside of our datacenters/accounts.,Development Practices and Tooling,45,A SaaS Co.,1,R03.3
45,45,46,How do you onboard new developers to the team?,Developers are all third-party organizations that manage team turnover/onboarding.,Development Practices and Tooling,46,A SaaS Co.,1,R03.3
46,46,47,How is the quality of development measured?,There hasnt been an official measure other than sprints output and bugs. We did just recently implement some KPIs last week.,Development Practices and Tooling,47,A SaaS Co.,1,R03.3
47,47,48,What languages/frameworks are used?,"Core Issuing and Acquiring use OpenJDK 11 and Spring 5.3 Framework. UI uses mostly html and jquery in jsp pages. Custom SQL queries and procedures.
Legacy uses Java 1.7, javascript and Spring 2 Framework, Custom SQL queries and procedures. Also dependent on a handfull of individual java utilties run by windows scheduler.
RPN use PHP 7 and a custom built framework. Some tools like bootstrap framework used for frontend.",Development Practices and Tooling,48,A SaaS Co.,1,R03.3
48,48,49,What is the level of expertise within the current team for each?,Overall our development teams are proficient in these languages and frameworks. Developer experience level varies. As developers are 3rd parties were not always privy to the experience level of the individual coders. We have seen setbacks due to experience coders being swapped out for coders in training.,Development Practices and Tooling,49,A SaaS Co.,1,R03.3
49,49,50,How is developers’ performance measured?,"We have an internal ""blackbox"" QA team that tests each new build and reports any bugs, bad implemenation or incorrect functionality by the developers. We are in the process of implementing weekly post mortem meetings and KPIs around scope, amount of rework and delivery times.",Development Practices and Tooling,50,A SaaS Co.,1,R03.3
50,50,51,What are the most common problems developers run into during the development cycle?,"As the developers are third parties we do not always get details about internal team challenges. The most common frustrations raised to us are: 1) Changing scope in the form of new tickets added to the sprint or unanticipated impact and scope of existing tickets. 2) Lack of access to servers, databases and logs necessary to troubleshoot issues.",Development Practices and Tooling,51,A SaaS Co.,1,R03.3
51,51,52,Is there a peer review or QA review process in place?,"We do have coders on the Company side that do peer review of code. We do have our ""blackbox"" QA team doing user acceptance and functional review of all tickets.",Development Practices and Tooling,52,A SaaS Co.,1,R03.3
52,52,53,How are defects found during development managed?,"Our 3rd party developers have internal QA teams that test daily builds and report them to developers. When the build is deemed ready for production by our 3rd party dev teams the changes are moved to Companys QA servers. Companys QA team then does another round of testing. Any issues found are noted in Jira ticket comments and the ticket is moved to ""Rework"" status for the developers to review and make appropriate changes. This process repeats until all tickets are deemed ready for production release by Company QA team.",Development Practices and Tooling,53,A SaaS Co.,1,R03.3
53,53,54,What is your exception handling strategy or approach?,"Assuming this question is referring to code exceptions. Exceptions in code excution that arent specifically handled are written to logs as errors. Errors are reviewed over time, ticketed then addressed depending on scope and impact.",Development Practices and Tooling,54,A SaaS Co.,1,R03.3
54,54,55,Are any development standards in place today?,The 3rd party devs have some basic coding standards for things like naming conventions in the code and databases. We require them to follow OWASP guidelines and occassionally run SonarQube to check the code for bad practices.,Development Practices and Tooling,55,A SaaS Co.,1,R03.3
55,55,56,Are particular design patterns used?,"Core Issuing, Acquiring and Legacy Platforms use MVC architectural design pattern through Spring Framework. Hibernate and C3PO are used for connection pooling and ORM.
RPN team has their own custom framework and design philosophy.
With all coding teams being outsourced 3rd parties we are not aware of any more specific design patterns.",Development Practices and Tooling,56,A SaaS Co.,1,R03.3
56,56,57,What are the strengths and weaknesses within your dev teams today?,"Strengths: All our teams have lead developers with many years of experience on the platforms and in the code bases.
As they are 3rd parties we dont have to worry about staffing or HR problems. But the  relationship does make us blind to some challenges and delays occurring behind the scenes.
Our india teams have significantly different work hours (time zone).
Weve had challenges getting scope and implementation reviews done before coding begins. Coders like to jump right in and start coding.",Development Practices and Tooling,57,A SaaS Co.,1,R03.3
57,57,58,"What gaps exist within existing tooling, languages and frameworks?","There are many gaps. Simply put we are not taking advantage of newer technologies and capabilities available in our programming languages, frameworks, deployments and servers. Our priorities have been new feature development and backward compatibility. The 3rd party relationship tends to put upgrades, refactoring, maintainability and standarization in the background.",Test Practices and Tooling,58,A SaaS Co.,1,R03.3
58,58,59,Is there a specific delivery or technology mindset you expect the testing team to adopt?,"No, our testing team does ""blackbox"" testing that  focuses on user acceptance of requested changes and stablility. We are implementing XRay in JIRA to help standarize our testing.",Test Practices and Tooling,59,A SaaS Co.,1,R03.3
59,59,60,"If yes, please elaborate on the characteristics of the desired mindset. [Examples: Shift-Left, no manual testing, Developers assisting in test automation, etc]",We do mostly manual testing of new featured and regression testing of critical functions. The focus is on minimal disruption to our existing customers.,Test Practices and Tooling,60,A SaaS Co.,1,R03.3
60,60,61,How many members in each work team are dedicated testers?,Our 3rd parties have their own internal QA teams. The Company QA team consists of two full time testors that cover our 5 different platforms.,Test Practices and Tooling,61,A SaaS Co.,1,R03.3
61,61,62,How many members have experience with automation?,We have one QA team member with some basic experience in test automation.,Test Practices and Tooling,62,A SaaS Co.,1,R03.3
62,62,63,Please provide a quick overview of your current testing lifecycle in the team.,"The Company QA team tests the initial build prepared for us by the developers. Any issues are reported in comments on the Jira tickets and the tickets status is put in ""rework"". The developers make necessary changes, release a new build and put tickets in ""Ready for testing"" status. The process repeats until Company QA determines the most recent build is good and ready for production deployment.",Test Practices and Tooling,63,A SaaS Co.,1,R03.3
63,63,64,"What are the different activities, responsibilities, communication, escalations, reporting etc. performed by the testers?","Companys QA team is responsible for ensuring that new builds deliver the requested changes, are stable, and no loss to existing functions. They test with a variety of tools and note on ticket any issues found. Returning them to rework status for developer to address with another build before we release to production",Test Practices and Tooling,64,A SaaS Co.,1,R03.3
64,64,65,Are security considerations part of the testing process?,Our Developers internal QA teams testing includes providing us a security checklist indicating they are testing and following OWASP security guidelines. Companys QA team does not do security related testing unless a specific ticket in the sprint addresses a security vulnerability.,Test Practices and Tooling,65,A SaaS Co.,1,R03.3
65,65,66,Do testers work in a dedicated test environment?,Yes,Test Practices and Tooling,66,A SaaS Co.,1,R03.3
66,66,67,Do testers work with actual mobile devices (if applicable)?,Yes,Test Practices and Tooling,67,A SaaS Co.,1,R03.3
67,67,68,Do testers create manual test cases for testing?,"Yes, we have a stored repository of test case with X-Ray and they create ticket specific manual test cases.",Test Practices and Tooling,68,A SaaS Co.,1,R03.3
68,68,69,What test artifacts are typically created or considered necessary for completing a project?,All test cases in a ticket and and sprint must be successfully executed or justified.,Test Practices and Tooling,69,A SaaS Co.,1,R03.3
69,69,70,"What testing tools (for traceability, test progress/documentation, defect reporting) and frameworks (for data management & automation) are used?","Jira, Jira Xray",Test Practices and Tooling,70,A SaaS Co.,1,R03.3
70,70,71,Are tools used to de-identify and/or create test data?,"XRay, Jmeter, Postman",Test Practices and Tooling,71,A SaaS Co.,1,R03.3
71,71,72,"How is new and changing data, such as network attributes, updates/patches, etc., refreshed in test environments?",We schedule and coordinate with our Data Center Admin when updates are being made to the test environment is made. We take the change into consideration while our QA is testing current application build.,Test Practices and Tooling,72,A SaaS Co.,1,R03.3
72,72,73,"What are the current team challenges? [Examples: Test coverage, domain knowledge, communication, limited time to test, no automation, etc.]",No Automation and missing documentation of correct functionality for existing features. Also sometimes in adequate details on tickets to determine best test cases.,Test Practices and Tooling,73,A SaaS Co.,1,R03.3
73,73,74,"Can you share some sample artifacts - plans, test cases, automation scripts - and access to a test environment with the reviewing team?","We can, to be provided on request.",Test Practices and Tooling,74,A SaaS Co.,1,R03.3
74,74,75,Are there any specific areas where automation coverage is needed?,"It would be great to automate our regression test cases. Also, I would love to implement automated load/performance tests. Currenlty all regression is manual. The minimal load/performance testing weve done has always been manaully setup with a tool such as Jmeter for ""bulk"" activity.",Test Practices and Tooling,75,A SaaS Co.,1,R03.3
75,75,76,What gaps exist with current automation tool?,We dont have a current automation tool.,Test Practices and Tooling,76,A SaaS Co.,1,R03.3
76,76,77,What gaps exist in testing automation skills?,Thomas has some experience using testing automation but may lack technical ability to implement.,Test Practices and Tooling,77,A SaaS Co.,1,R03.3
77,77,78,How much performance testing is done?,"Very little, only if we are concerned about a specific changes impact on performance. We then manually test before and after the change to compare the impact.",Test Practices and Tooling,78,A SaaS Co.,1,R03.3
78,78,79,What performance testing or monitoring tools are in use?,On our test environment there arent any in use.,DevOps,79,A SaaS Co.,1,R03.3
79,79,80,Please provide a brief overview of your current DevOps lifecycle.,"Any issues identified come through our technical support queues. If development is required the changes are added into sprints (current or future) depending on criticality/impact. Any critial bug would require an ""emergency"" sprint or rollback if the bug was recently introduced. We havent had an emergency sprint in the last year that I can remember. Most bugs are minimal in nature and come out with future sprints. We do not have continuous deployments. Enhancement feedback is always scheduled in future sprints.",DevOps,80,A SaaS Co.,1,R03.3
80,80,81,What gaps exist with current approaches or tools?,We recently got our developers to start developing on our Github accounts so that we can move towards a more automated/continuous approach.,DevOps,81,A SaaS Co.,1,R03.3
81,81,82,What gaps exist in DevOps team skills?,"Bugs and feature request come through our support queues. Troubleshooting can then escalate to the software development managers and director of product who can typically identify the issue. They have DB access to see if/how the data is impacting the bug. If it gets to the code level to identify an issue, we do a devops engineer in office who can help. Otherwise the story with all details, data, and logs are shared with the development teams to dig deeper.",DevOps,82,A SaaS Co.,1,R03.3
82,82,83,"How is communication handled between teams regarding build status, quality levels, and issue resolution?","Communication (summaries) is recorded through JIRA for statuses, testing, etc. There is IM with development teams, email, and twice a week calls at a minimum.",DevOps,83,A SaaS Co.,1,R03.3
83,83,84,How is the build process managed?,"Developer commit code changes to github and provide a builds to deployed in QA. For Issuing, Acquiring and Legacy builds are deployed to test servers by Development Manager copying war files into Tomcat. For RPN developers deploy changes to test servers.",DevOps,84,A SaaS Co.,1,R03.3
84,84,85,Is CI/CD in place?,No,DevOps,85,A SaaS Co.,1,R03.3
85,85,86,What tools support your pipeline?,"Jira, Github",DevOps,86,A SaaS Co.,1,R03.3
86,86,87,How is security incorporated into the DevOps process?,Changes are done through the development process which includes developer security checklist.,DevOps,87,A SaaS Co.,1,R03.3
87,87,88,Which tasks are automated?,We have various custom monitoring utilities in place and alerts for any important issues.,DevOps,88,A SaaS Co.,1,R03.3
88,88,89,Which tasks remain manual?,Most changes are manual. We do have some basic scripts in place for doing some types of updates.,DevOps,89,A SaaS Co.,1,R03.3
89,89,90,What are your current release cycles in terms of frequency and size?,Depending on the platform we release every 2 weeks or Montlhly.,DevOps,90,A SaaS Co.,1,R03.3
90,90,91,Is there a mobile component to your offering?,"Out of our three main applications, only one is used on mobile devices at a significant ratio. We have ensured that the webpages are responsive. We do have two mobile offerings but they are independent of our main services.",Security,91,A SaaS Co.,1,R03.3
91,91,92,Please provide an overview of information security policies and procedures.,All policies and procedures are held in our Tugboat tool with documented reviews and document revision history.   We can provide access to the tools or walk you through the system in an interview.,Security,92,A SaaS Co.,1,R03.3
92,92,93,Do you have a designated individual or group responsible for cyber-security?,Yes it is our executive team.,Security,93,A SaaS Co.,1,R03.3
93,93,94,Are Penetration Tests performed?,Yes,Security,94,A SaaS Co.,1,R03.3
94,94,95,"Provide a list of third-party tools or vendors used, frequency of tests, and examples of past results and mitigation actions taken.","ControlCase is the thrid-party group that does our PCI audit. Part of their service is automated and manual penetration tests. On top of external penetration tests, we provide users of different permission levels so that they can test privledge escalation, sql injection, etc from within the applications as well. Example results and mitigation actions can be shared. I do think theres a weakness in their testing around APIs. Any ""critial"" issues are resolved before the audit can be closed and non-critical recommendations are scheduled in to be addressed over the next year. In the early years there were issues identified that improved our security footing, but more recent years have found only minimal recommendations with low risk.",Security,95,A SaaS Co.,1,R03.3
95,95,96,Are vulnerability scans conducted?,Yes,Security,96,A SaaS Co.,1,R03.3
96,96,97,"Provide a list of third-party tools or vendors used, frequency of tests, and examples of past results and mitigation actions taken.","Code is scanned by Github for vulnerabilities. We have also periodically done some testing with Sonarqube. Other than Github, nothing is scheduled. Past results and actions taken can be shared.",Security,97,A SaaS Co.,1,R03.3
97,97,98,Has the organization experienced a cybersecurity breach in the past five years?,No,Security,98,A SaaS Co.,1,R03.3
98,98,99,How do you manage the use of open-source software?,This is not managed well currently.,Security,99,A SaaS Co.,1,R03.3
99,99,100,"Do you have a strategy or process around software selection, approval, and inventory?",Supporting software and access control is managed through the IT queues/processes.,Security,100,A SaaS Co.,1,R03.3
100,100,101,Do your teams actively contribute code to open-source communities?,No,Customer Support/Customer Success,101,A SaaS Co.,1,R03.3
101,101,102,"Describe your Customer Support and Maintenance Organization. [Org Chart, Roles, Responsibilities, Experience]","The tier 1 and 2 customer success as well as account management, onboarding, and client success have all recently been changed (are in the process still) by the CEO. Ulitmately all of those represent the first level of contact for our customers with the exception of integrations and partner support. What that means is that all cardholders and agents get support from other departments. Technical support can assist as needed but only if an internal support ticket is raised. Other than that, we have a partner support queue which can be used by partners for issues or questions during integrations. The partner queue and IT queue are montiored and triaged during business hours by our technical support representative who we hired about a month ago. We also implemented an IT manager about a month ago who oversees the requests. Also, we hired a techncial support representative (hardware) about a month ago who assists with IT tickets. Prior to a month ago this was all manged by the director of product. We have an integrations manager who has been with us for about 4 years that had been the one managing the queue. Our now IT manager has been with us about 4 years and had been managing the hardware amongst other things previously. Software development managers and the director of product spend a lot of time previously assiting with technical support. The new organization and individuals were all in an effort to separate IT from Product so that there could be more focus on product without the bandwidth issues and interruptions that techncial support caused. So now there is an IT manager with essentially three team members to support customers: technical support (triage and troubleshoot), technical support (hardware/access) and integration manager.",Customer Support/Customer Success,102,A SaaS Co.,1,R03.3
102,102,103,Describe the processes used by the Customer Support and Maintenance teams.,"The process is controlled by the JIRA service desk projects with associated workflows, queues, etc.",Customer Support/Customer Success,103,A SaaS Co.,1,R03.3
103,103,104,When was the last change made to this process?,"As mentioned above, the team changed/grew recently which has allowed us to put more formal processes in place. Also, we are enforcing documentation in Confluence for troubleshooting to allow for future scalability. In the past, the documentation was usually just what informaiton was documented with the resolutions.",Customer Support/Customer Success,104,A SaaS Co.,1,R03.3
104,104,105,What customer support tools are in place?,"Monitoring, Alerting, Reporting (Dashboards), etc.
Most customer support is managed through the JIRA service desk queues. On top of that we do have automated monitoring, alerting in place in a couple ways. We have Automate in place, which monitors physical hardware (servers and workstations). We have an internal utility that montiors every 30 seconds for fraud, performance, etc. Applications are also montiored by Uptime.com for availability and response times. Non-critial alerts are sent into the IT queue for review during business hours. Critial alerts are sent to alerts@company.com which is our on-call process. This emails critial internal individuals and texts and calls the currently on-call individual for immediate attention.",Customer Support/Customer Success,105,A SaaS Co.,1,R03.3
105,105,106,Do you have a formal NOC or SOC in place?,"Yes, we rotate on-call internally.",Customer Support/Customer Success,106,A SaaS Co.,1,R03.3
